star_rating,review_body
1,"I purchased this as a gift for my brother who just got an Apple watch in July. He loves it! Being a person who works with wood, he especially loved the wood look, very pretty. It works quite well and was well-priced on Amazon."
1,excelente
1,The case fits perfectly on my Son's phone. Thanks for the fast shipment of the order.
-1,"It's okay. I like the dreamcatcher graphic a lot. The case itself is very thin and the edging on her sides is not seamless. The edges have a small plastic &#34;tail&#34; that is left over from when the case was cut. It's not horrible but it is noticeable and annoying.<br /><br />Not sure what I expected though, afterall its $5."
1,Great price and fast shipping highly recommended.
1,"I'm not going to tell you that you should buy this phone, I'll givethe pros and the cons and let you decide for yourself Pros &#34;Durable&#34;    I don't know if Lg of America purposely makes they're phones in America easy to break the screen but this one Right here is a champion. Dropped this on cement, Hard Tile floor, on the sidewalk, and a few Other non carpeted areas. I don't know if it's the construction itself that makes it strong or maybe that LG Of Korea purposely made this phone very strong since it's marketed to teens and younger folks, or maybe it's because every time you dropped the phone instead of it's falling all in one piece and absorbing all the Impact, the back comes off and the battery comes out oftentimes but when you put it back together it works fine. I even had a few front facing dropS so many times I thought oh my God this is it my phone is shattered but I was wrong I am so confident in this phone that I Could do a ear height drop test anytime anywhere and I'm 100 percent sure it won't break and I'm 5ft 10. I don't even have a case on it it's just the screen protector and that's it.  Good Conversation starter (The Eyes)  you have no idea how many conversations have started Because of this.  Me: *Takes my phone out of my pocket to see notifications*  Her: &#34;Omg, does your phone have eyes? Thats sooo cute&#34;  Me:yeah, it's a lil phone from Korea. The Lg aka. check it out it's eye's move too. It even blinks too Her: Thats so adorable, Im ******* by the way.  Continue talking and i ended up getting so many kiks/phone number because of that but i digress. (It's Still Corvette over females doe) A great way to break the ice.  Audio  The Sounds sounds great coming through the speakers no cracking or nothing like that, it's not super loud but if you put it at full volume here and enjoy it even if you're a good distance away. earbuds, it works with every pair of earbuds I have very compatible. Crisp .plus with the LG software their version of the music app you have the option to increase t, the treble, all that. I love that features some songs just don't sound the same without all that bass.let's see what else can I say about the sound? the notifications can be nice and loud. And yeah if you're really into music this is a great phone.  Design   if you are coming from some other company and you're used to the buttons on the sideit'll take a little while but eventually you'll get used to the volume rockers and power button being on the back. and if you don't want to have to deal with that this phone has knock knock you tap on the screen twice to wake it up and then you can enter your password and all that instead of using the little button on the back. and most of the time you can use the littles options At top to adjust the volume but as I said before it's pretty easy To get used to. Plus the phone looks nice, its not ugly.  Call quality The call quality is decent. I thought since this phone was from overseas the call Quality might be off but now it's on point. Texting works normally too .  The speed  if you are used to be mid-range phones, this is quite a little Speedy One.   The Flex factor  lots of people buy Phones As fashion statement, the question is if my  put his galaxy/iPhone/Note/ on the table and you put yo phone next to theirs how would it stack up? I would give this phone a 7. Its pretty nice and if you keep it clean(its easy,every not and again wipe wit a lil rubbing alcohol) you can flex on anyone. Looks like one of them $700 Flagships. If yo guy friends see the eyes however they might clown ya. But that don't matter. The eyes are cool to me and that's all that matter.  Security Lots of options to keep it safe. Bunch of lock options and it has lookout too.at least mine did you might have to install it.  accessories  If you like customization this phone comes with funny lil stickers to put on it. If you older you might not care but i found this cool.  Weight  Its not heavy. I likes this.   OsThe operating system is Kitkat, I personally like KitKat. it gets the job done and it doesn't have too many features that I'll never use thatll just drain my battery.  Memory   16 gigs of internal space . And thats good considering my other phone before this had 8 . Up to 32 gb with a memory card but I used a 64 gb chip and it's worked fine.  Auto focus lazer  Cool feature on the camera very useful. And it can shoot high resolution video  Battery   lasts a while. I can get 6 hours wifi on heavy use but if the brightness is at 100 you lose some up time. And if yiu get a replacement battery you can just switch it out bam.  Cons  Camera isn't highest quality. Kinda grainy.  Not waterproof/Water resistant. Thats how my broke. Not broke but it's messed up pretty bad.   Price. Depending on what color you get this can go up to be 300 dollars, them Amazon vendors tryna rip y'all off this a $200/$250 Phone don't be rash wait till the price go down.  Front facing camera is not that great either but you can see so its not complete trash.  Too much stuff. Too many apps pulling on the ram makes it studder occasionally. Not bad but you'll notice it.   5 inches. I came from 4.7 in, i though well .3 in isn't that big of a jump but I was wrong, sometimes I have difficulty reaching the top of the screen to pull down my notification thing. Not the phone fault my hands just wasn't  for 5 in.   Micro sim. I had a regular sim. But its alright T-Mobile switch it and gave me a new one free.  I lied at the start. You should buy this if you think it's cool"
1,love it
-1,Bought a puretalk prepaid sim card for this phone and the phone does not work/connect to the network. Lame...
1,"&#34;This a great looking and highly functional case for the iPhone 6.It is a nice solid construction and doesn't add too much bulk to the phone.The case is a little stiff and not that easy to separate.You need to follow the instruction carefully.You should  remove screen protectors at first.<br />You are advised to test the case for waterproofness by placing a piece of paper in the case then dunking it in water. This I did with no problems, the paper was bone dry All the ports are sealed with stoppers so it should be completely sealed.<br />The buttons were still easy to press with the case on and the fingerprint sensor works perfectly;<br />All in all, I like this case and recommend it. &#34;"
1,"This is my 8th time buying one of these. Not because they don't last, but because everyone always thinks they are cool and I let them have it. Love the fact that you can turn anything with an AUX input to Bluetooth!"
1,Its annoyingly good at reminding me to get up and move.  Wish it would track 'movement' as well as steps.. and of course I wish it had a vibrate feature. but so far so good.
0,Best quality
1,I liked the macro lens the most. So sharp! I gave it 4 stars because the wide angle had so much vignette. But this thing is totally worth the money! Works in Sony Xperia z3 compact.
1,"As past reviewers had indicated, it is a bit bulky and the connections are not tight, but it works."
1,"fits perfect. doesn't interfere with pockets and purse much. clear color lets me see phone, which I wanted!"
1,Good protection.
1,"Fantastic case. Looks slick as can be. The hard buttons remain fully functional. Only reason it doesn't get a 5 is that the case is very difficult to remove, and also, the input for the charger will not fit all chargers. Otherwise, it's a beautiful case."
1,"Very sturdy, keeps phone nice and safe!"
0,"They sounded okay, they had plenty of the skipping that is all too well known with bluetooth headphones, very difficult for me to get the right fit with these. I wanted to like these headphones, but the Blue Buds X were just a hands down winner, the Blue Buds just have too many better features to go with freedoms instead. Durability wise, only time will tell. But these freedoms weren't as good sounding to me, the ear hooks were not as comfortable as I was expecting, I also prefer the Blue Buds due to their smaller size. The price is higher, I bit the bullet and bought them and I am so much happier with them than I was with the cheaper alternatives. I use the Comply Foam Tips and they improve any set of headphones dramatically in My opinion."
1,Great
-1,I just received mine and it was broken I didn't even get to use it! !!!!! Horrible care!
1,"Nice product.  Does, as advertised.  Getting used to not carrying a wallet and only carrying necessary with me."
1,"Fits perfectly. Saved my iPhone from getting damaged quite few times, forcing me to keep using.<br />Though the case is a lot slippery i liked it more than the leather one I bought at Apple Store.<br />Looks not compromised.<br />Phone feels lot slimmer. No weight added.<br />Overall great case :)"
0,Case is pretty decent nice snug fit on my phone but the kick stand on the phone is really difficult to use.
1,is awesome
-1,Not what I expected at all.  Online description misleading.  Gave it away for my son to play with  don't waste your money
1,Everything was great. Thank you.
1,"Quality is not great but for the price is completely acceptable. Very cool design and zipper works easily; cloth cord does not tangle much. Bought these mostly for the cool and anti-tangle design, very pleased with it. Would be 5 star if not for the sound quality but I would buy these again if I needed another pair of cheap earbuds to toss in a bag and take out without having to spend ten minutes detangling them."
-1,"Doesn't work on my iPad Air. Would not advised purchasing this product. I have tried different charging bricks and it's the same thing, I get a message that my iPad is not charging."
0,"This case did not work with aftermarket charger cords; but to clarify they did work with my cords purchased from Apple. I had to notch out the openings a bit to get the aftermarket cord to fit. Otherwise, durable and dependable."
1,I love my case
-1,Is rubbing off
-1,It's good for its price but does not last long.
1,Great case! Fits perfectly even with a tempered glass screen protector. It does add bulk to the phone but makes it easier to carry which is a huge plus :) Lime green is a fantastic color.
-1,"The screen protector was not wide enough, did not fit phone properly!! :/"
0,"I'm 50/50 about this product. It's not bad, but I wish it would've been a bit more durable and less thin plastic-y."
1,"Excellent product, fast shipping!!!"
1,After seeing and using ours a friend asked that I get one for her as well - This is a great charger and a great buying experience.
1,Don't give a bad review because you didn't do the research and ordered the wrong part.
-1,The part that connects to the tablet broke after the first use. No kidding. The part that is important is actually the weakest part. I was so disappointed. The cord looked so high quality and beautiful.
1,Product acceptable. Sturdy
1,"It take a little to instal, but it works perfectly. I works with my Amazon Echo."
-1,Glass shattered during installation. There is no protective cover on the front side of the glass to protect it during installation on the device.  The instructions on the package do not correspond to the actual contents of the box for installation.  Overall poor installation instructions.  I have no idea who the product performs as I never made it that far.<br /><br />I have installed several Zagg glass screen protectors and never had one break before.  This brand is well below the quality of Zagg Glass.  The only reason I tried this brand is that Zagg does not make one for the Kindle HD 7.  A very disappointing result.
1,Fast delivery.  Easy to apply!
1,Love it
1,"Good cassette adapter.<br />My husband and I just bought a Subaru OUtback 2002 with CD and cassette players.<br />We were afraid to try this to plug our cell phones into the car stereo, because some reviews say that it completely damaged the car sound system, but so far, we've been using for 4 days and , it has been working in a very good way.<br /><br />The only thing that I didn't like, which prevented me for putting 5 stars, it was a small interference sound when I move the cell phone. That is all."
1,Good product.  Please note that it is not a floating case.  They don't claim it is but I somehow was thinking it was.  It is a good price and does what it says.
1,I love it. Item is exactly as described and pictured.
-1,i have to return this
1,Love the price for a great product
-1,The box was alright but after a short while the box starts falling apart and it rattles about ten times louder than the actual sub. Ruins the listening experience majorly. Ended up putting in screws throughout most of the box and still can not find the source of the rattling exactly.
1,"It took a little time for me to write this review because I prefer to try a product out completely over time. I did have a problem with the cable, the camera would shut off when the car was in motion and I would have to screw around with the connector to get it to turn on again, after a few miles it would shut off again, this was corrected when I notified the company which promptly sent me a new cable. The problem now seems to be fixed. About the camera itself...it's a really good little camera, the picture is really clear and the colors are very natural. This camera rivals many more expensive models. Take a look at the YouTube videos, they speak for themselves. The only problem I have (with any of these cameras) is, the setting buttons are really small, for a man's hands that can be a problem, but other than that I really don't have any other complaints with this camera. It does what it was designed to do. The company is really nice to deal with if you do have a problem, like with any electronic device, things can and do go wrong sometimes, but this company responds quickly to rectify a problem which keeps their costumers happy. Over all, I'm very satisfied with my purchase and would recommend this very reasonably priced camera to any one looking to purchase a car camera. When an accident happens, and they do, it's nice to have a visual account to protect yourself. This is a very sensible purchase for anyone."
1,The best phone case I ever bought!
-1,"I bought this charger because it was long and apple certified and from Amazon. However, I have had it for about a month and now no longer works because it is says it isn't apple certified which is the way it is described in the name of the product. I hope the company can send me a new iPhone charger because this one is no longer working."
1,"Works as described.  I bought it to have earphones with some noise blocking capability for use on a tractor.  I have ear-bud phones which block noise and these block better with better sound and no more gooey-squishy-sweat in my ear canals.  I have paired it with 2 tablets (one android, one Windows) and my phone all easily.  Good sound quality. Does not block enough outside sound to serve as hearing protection, nor would I expect it to, but it is close and works well for my needs in a tractor which isn't very loud.<br /><br />Pros:  Good sound quality.  Voice notifications lets you know on/off/pairing.  Comfortable (fits fully over my ears).  Range; I tried pairing to my phone when outside ready to hit the tractor and it wouldn't do it....came to realize it was still connected inside to my tablet which I had to go inside to disconnect.  Nice compact case.<br />Cons:  At this price point I can't complain.  The USB charger cable is unique and may be difficult to replace (USB to mic jack). They feel &#34;flimsy&#34; but then that means they are lightweight and comfortable for work-use or long games.<br />Unknowns:  I haven't run the battery dead yet to know run time; at least a few hours.  Microphone; haven't tried it.<br /><br />Bottom line:  when these wear out I will get another pair.  I will probably buy two more for my kids for road trips as they have systematically destroyed the &#34;wire&#34; with each wired set that I have bought them."
-1,"I wanted to transfer pictures, but it did not work.  What I actually needed was a memory card."
1,Very good quality for the price.
-1,Didn't realize it has an internal fan.  Pretty noisy.  Embarrassing to use in conference room with others.
0,Ok
1,works well.  Can charge my iPad as well as my phone on one charge.  Very handy to take on a trip.
1,"Gives my phone that same iPhone modern look but is unique, lots of compliments already."
1,Great product. Works well.
1,"I am VERY happy with this holder.  The suction mount and positioning abilities are very high quality.  I use a 5.5 inch screen phone and a thin, hard-shell case.  The thin, metal plate fits easily between the back of my phone and its case, and it holds very firmly on the TechMatte's magnet.  I don't need the gripper portion, although it is also very nice quality.  And while it holds firmly, it also comes off when I want to grab my phone.<br />What I like the most about this mount is the ability to quickly put the phone on, or take it off with one hand and no fumbling about.  You can place the phone on it lengthwise, or straight up and down without difficulty.  Once on, the phone doesn't move while I'm driving through any turns, stops, or bumps.  It's just plain easy, reliable and functional.<br />The mount's suction cup is the best I've ever used -- and I've used many over the years.  It'll hold firm on any windshield, or on a dashboard horizontal pad.  The angle adjustments are easy to use, also high quality, and they hold firmly once in place.<br />This product is absolute proof of &#34;you get what you pay for.&#34;  Sure, you can get a cheaper Chinese knock-off on Ebay...but it won't be anything nearly as good.  I'm sold.  I'll be happy with this system for years.  I will likely purchase more as gifts for my kids this Christmas."
1,Saved myself from getting the apple band
1,Great case...but when i clean my home phone button with awesome spray it touches lil bit of casing frame and all suden change color for that particular part
1,"This case for the GoPro is perfect for two cameras and accessories. It will protect your gear very well without weighing you down, especially if you are traveling."
1,Works well and the replacement tips make it a worthy investment.
1,I ordered two of these about 1.5 months ago. The first one did not work correctly right out of the box. Would not even charge my smart phone one time before running out of juice.<br />On the second unit the power button fell off after only a few weeks. I am very disappointed in these.<br /><br />Update:  After writing the previous review the manufacturer reached out to me and offered to send me replacements.  This was outstanding customer service and in every way makes up for the previous shortcomings.<br /><br />The new chargers both are functioning flawlessly and have neither issue the previous chargers had.  I am not very happy with my purchase.
1,Exactly as described and depicted in the photo
-1,"I ordered one and it's really pretty I love the decoration but within one day of having it, the corner was cracked and I didn't even drop my phone. So I ordered the free replacement and I had it for about a week an it's already chipped out of the bottom corner and again, I haven't dropped my phone."
1,Looks great. Functions nicely.
-1,"Did not test if it is actually waterproof but this case is very flimsy. The door for the charger port snapped off and the plastic base cracked. I went through two of these in a month. For a better quality case, get an Otterbox. If you want to take pictures underwater, just get a waterproof camera. I wouldn't risk breaking a $600 phone but if you want to..."
1,love this product. Protected my phone for 2 years without peeling off. Had to change my phone and this is the first thing I bought for it. Must have!
1,"This mount is excellent. Easy to use, stays in place without any slipping (about two weeks of use at this point), and could clearly accommodate most types of phones. Highly recommended."
0,"I like the style, I have a large head but these fit and stay in place, and they're cheap (notice I said cheap, not inexpensive).<br /><br />If they didn't cost so little (especially for wireless) I would rate lower but for $23 I got what I paid for.  They'll replace my corded headset for doing physical work but only because I've had it with ripping corded phones out of my ears. They won't replace my corded phones while at the office though.<br /><br />The drivers lack bass and there's a slight tunnel effect to the audio.  This is however my first Bluetooth headset so that may be typical. These are meant for wireless convenience and I'll give the sound quality a pass at this price point - they do what is necessary of them.  All of the buttons besides the MFB are conveniently placed and easy to use, but the MFB button is located towards the inside of the earbud instead of the back so you have to almost pull the the earbud out to access it - especially with the rubber &#34;waterproofers&#34; installed.<br /><br />I can't attest yet to the battery life.  If they last 5 hours at a time I'll be happy.<br /><br />The start/stop feature stops working occasionally and I have to unlock my phone before I can stop the music from the headset.  This may be an issue with my phone though, a Moto G first-gen.<br /><br />And finally the rubber buds were all but useless.  In the attached picture you'll see of the buds that came on the headphones (to the farthest right in the picture), one was larger (top) than the other (bottom).  And then the other 2 sets were defective in that the &#34;rim&#34; that attaches to the stem of the headphones is at the front of the earbuds instead of the back.  For instance if you look at the earbuds to the right of the picture (the ones that came on the headset) you'll notice (or not) the black rim is in the back.  But the other 2 sets (left and center) you'll notice the front of the buds are dark - that is the rim which is supposed to be in the back.So these other 2 sets only attach if you put them on backwards, i.e. with the &#34;output&#34; hole onto the stem.  I docked a star for this and thought about RMA'ing but because of shipping/handling charges and the fact that I have other rubber buds from other sets I've purchased in the past, I didn't bother.<br /><br />I was hoping for more but got about what I expected.  My biggest disappointment was in the defective rubber buds."
1,"Works and looks great. Charging is a bit slow, but I use it to charge my phone overnight on the night stand."
-1,So so
1,This is a very nice quality charger.  It works great and looks good doing it.
1,"Does exactly what it should, and seems much better than the plastic film type.. worth it!"
-1,Sorry just not what I expected
1,Nice and good work..
1,It was an okay case and the back is really crystal clear
1,"Best investments iPhone case wise. No longer do I carry my wallet and cash. Just my DL, American Express and 2 Debit cards."
0,"Bought this unit to use in our travel trailer, as I assumed the RV-special features would keep us on the best roads.  Not so!  In just two weeks of use, this thing has told me to &#34;leave the road&#34; twice, and taken me to a gas station that hasn't been a gas station in years.  The first time I used it, I was in a familiar area, and if I hadn't known that the GPS was trying to take me down horse path (literally) I'd have been in trouble. I'm pretty disappointed at the accuracy, and the database is just 'so-so'.  And, it took 14 hours to &#34;update&#34; the database from my USB on my computer, which I did right out of the box.  May have been my PC (I don't think so), but that big of an update made me think it'd be accurate in terms of closed facilities and road accesses.  It's not.<br /><br />The feature that I do like is having rest stops, truck stops and available bathroom stops at the touch of a button (even if they're not terribly accurate), so we're going to keep the thing, rather than return it.<br /><br />I now run both this mediocre thing AND my Google Maps navigation on the smartphone at the same time, 'cause I don't completely trust the Garmin, but Maps doesn't have the one-touch access for stopping points.  Wish there was one unit that did everything we wanted... hard to believe in this age of technology that there isn't... :-("
1,"Good goggles without the frill of the later versions.  I have not compared to other cardboard goggles, but I would guess these are relatively high quality lenses, with plastic frames instead of cardboard.  I did not have any problems using them.  The lack of a visor to block outside light was not an issue.  I did feel a little carsick, though.  Because of the carsickness, I do not regret the lack of a headband.  My arms do not get tired from holding the apparatus for the short periods I feel comfortable using it.  And it feels more natural to be holding it to your face while turning around, rather than relying on a headband to hold cardboard against your face."
-1,We have tried all of the cords in the pack.  They seem to work a couple of times and then they don't charge any longer. Really disappointed!
1,Perfect sound like LG
1,"My daughter bought this for me, about 2 weeks ago.  This is a really great way to keep track of your activity level, especially since I am now semi-retired.  It gives me an extra nudge to &#34;get up, and keep moving.&#34;  I'm actually enjoying it more than I thought I would."
-1,I really liked this product. Very smooth feel - even better than actual screen. Which is strange because you would never say that about a condom. Anywho my opinion changed when a 36&#34; fall from my desk onto carpet caused the screen protector to crack. Very delicate.
1,Thanks
0,I had a little trouble with fit.  It's okay. I feel that my phone is well protected.
1,"nice phone,"
1,Good strong. Hope it holds up!
1,great little organizer. very solid and attractive
-1,The clap broke 😑
0,It's alright.
1,great product
-1,Works for 3 months and tip of cable stock in my phone. Contact saler told me have to ship the defectid item and then they raplace it. Not worth to buy
1,Cute and it's not bulky at all.
0,"First off, the seller was Great. Item arrived in a very timely manner. The actual materials of this 3 piece case appear to be very rugged. The only exception might be the belt clip (time will tell). However, once you put the silicone gel around the phone, then proceed to slide the phone into the middle bracing part, you have no way to avoid putting stress on the volume rocker and power buttons. You just have to work those buttons into the cutouts. If, like me, you choose to use the belt clip case, inserting and removing the phone can be a challenge. At first, I found myself accidentally taking screen shots because of the pressure being put on the power and volume rocker buttons while sliding the phone in and out of the belt clip case (very tight). Plus the gel covering tends to fold up when pulling phone out. The solution? Well, this is a &#34;flip screen phone,&#34; so I just put it into the belt clip case right side up even though I would rather put it in right side down (The reason: hand down at side to hand up at ear. Results when I pull the phone out, the phone goes from right side down in case to right side up at ear). Overall Pros: 1) Material used appear to be very durable. 2) Kickstand seems to work very well. Overall Cons: 1) Phone is tight in belt clip. 2) Silicone gel gets a lot of friction when putting in and pulling out of belt clip case. 3) Although silicone gel cover has some notches on the sides, feels a little slick. 4) Molded area for earphone plug isn't big enough for a complete flush connection. ... On a sidenote, I accidentally purchased the same two cases from two different sellers, thought I was ordering two DIFFERENT cases (my bad). Once again, not the worst case but could be better. Nothing against either seller, they were great!"
1,Works Great!
1,"I wish the bottom and top edges were a little more rigid, but the case works great. Fits great and very slim."
1,I have been concerned about radiation (EMF and EMR) for some time now. This product blocks the radiation and was inexpensive and effective. I am very satisfied.
-1,Fit well but looked like water under part of the shield. I threw it away.
0,Not easy to open or close
1,Great product. Works like a charm! Highly recommend this seller.
1,Bought this case for my daughters phone.  She seems very happy with it so far.
1,First one was defective but power add replaced right away and everything great now.  Thanks Poweradd!
1,All good. I ordered several of these and they are great.
-1,"If I could, I will give it 0 star. I bought 2 days ago and was very happy to receive today. But when I opened it and found it was made in 2013. After installation, the battery was 34% full, 30 minutes later, it became 14% full. Then I used IbackupBot to check and found the battery already has 508 count cycles.  I can accept I bought a brand new defect product, but I can not accept I bought a used product when it was claimed &#34;brand new&#34;."
1,"Very nice, smooth to touch. I usually have problems with regular plastic screen protectors. I accidentally scratch those, a bit of it will come off but since the matte is so smooth, it's impossible to scratch. Comes with three also so it's worth it!"
-1,"Loose connections, flimsy quality. Charger continues to drop out."
-1,They is the really poor quality<br />Falls were not<br />4 corners broken down
0,Needs to be worked with Audacity.  which is cumbersome to work with.
1,Shipping was slow but good product
1,Very impressed with this case. It was exactly what I wanted without any of the added bulk other cases seem to have. It went on easy and fits the phone snug. It was exactly what I wanted!
1,Nice that it doubles as a wallet.
1,Works great
0,Didn't protect the front. It was ok. Bought s better case. Def not worth $10
1,Durable case on construction site!
1,Cute and does what it says!
1,Excellent seller.<br />100% recommended.<br />Thank you
1,I LIKE THEM !!!
1,Thank you for your dealings and goods Good
-1,"I did not like it, it barely fit felt cheesy and it broke on me the next day"
1,My order came in promptly  and very happy with the purchase.
1,Great Product!<br />It holds my phone in place and it does not slip off or anything.<br />Definitely recommend.
1,great one i like it
1,"This is the 3rd time I have purchased the SwitchEasy Numbers case. It provides just enough protection without adding too much bulk to the iPhone 6+.  And it's the only case I know of that covers the power and headphone ports - important for me because I carry my phone in my pocket and the covers keep the lint out.  A little extra work when you want to charge your phone or connect to your car stereo, but totally worth it!"
-1,Don't waste your money or time buying them. They are fake and the connection is terrible. They don't stay charged long at all.
1,perfect for what I needed
-1,The backing is made out of a rubber material that rubs when I run
1,Just what I needed for my phone!
1,"Nice and sturdy, not cheap. Fits perfectly"
1,good product
1,I've purchased many items through Amazon and have never left reviews. This will be my first review in over 5 years because they are so good. I bought them to wear with my phone so I don't have a cord jammed between my fingers.  I compared the prices of other Web sites and went to best buy and these were the cheapest. I was expecting much less than what I received.  Well made with lots of ear fittings.<br />I've used some beats before and these are right up there with the sound quality. Expecially if your watching movies. I use them all the time and am extremely satisfied.
1,"This is an almost indestructible plastic cover, and almost no bubbles.  My copy created a permanent bubble around the rear-facing camera, I think because of the camera indention.  The OEM protector was cut around that camera.<br /><br />The first one arrived badly smashed - this is a ridged piece, not a thin film, and someone sat something heavy on it in-transit.  The second was intact and I like it.  It replaced the wimpy one that came on the phone, and within weeks had scratches on it.<br /><br />Forget those three-packs of thin film, this is the kind of protector that works.  Wonder if they make one for a Nikon...."
-1,"Earphones only lasted a week before the cord started to fray and the wires become exposed.  Before that they were staticky and lost sound in one ear if I moved the device at all.  Unbelievable.  I guess you get what you pay for.  Waiting for a replacement pair of DECENT earphones now, will never buy these again."
0,"There is always a slight buzzing but they are very comfortable to wear, I got them to listen to before I go to sleep so it isn't a huge deal."
1,Works perfect in my iPhone playing music thru my Aux in 2010 ToyotaTacoma.
1,I love this case. A great way to keep your phone charged as well as protecting it. Definitely recommend!!
-1,It was cheaply made
